"jurisdiction","agency","jurisdiction_type","filing_type","website"
"Fairfax County, VA","Fairfax County Consumer Affairs","Local consumer protection","Consumer complaint","https://www.fairfaxcounty.gov/consumer"
"Arlington County, VA","Arlington County Consumer Affairs","Local consumer protection","Consumer complaint","https://www.arlingtonva.us"
"City of Alexandria, VA","Alexandria Consumer Protection","Local consumer protection","Consumer complaint","https://www.alexandriava.gov"
"Montgomery County, MD","Montgomery County Office of Consumer Protection","Local consumer protection","Consumer complaint","https://www.montgomerycountymd.gov"
